changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,holidays_prior_scale,mse
0.001,0.01,additive,0.01,2745373.347909972
0.001,0.01,additive,0.1,2807965.9986659274
0.001,0.01,additive,1.0,2816075.2830533874
0.001,0.01,additive,10.0,2800247.386293878
0.001,0.01,multiplicative,0.01,2374458.743457672
0.001,0.01,multiplicative,0.1,2515317.8086865405
0.001,0.01,multiplicative,1.0,2517879.413081657
0.001,0.01,multiplicative,10.0,2515886.868786514
0.001,0.1,additive,0.01,2737289.53462737
0.001,0.1,additive,0.1,2821359.343212286
0.001,0.1,additive,1.0,2819657.599083843
0.001,0.1,additive,10.0,2824183.4270976814
0.001,0.1,multiplicative,0.01,2388384.0652636844
0.001,0.1,multiplicative,0.1,2588689.9780608853
0.001,0.1,multiplicative,1.0,2604250.5310343225
0.001,0.1,multiplicative,10.0,2594000.351605401
0.001,1.0,additive,0.01,2724472.8750326373
0.001,1.0,additive,0.1,2807397.8731530057
0.001,1.0,additive,1.0,2812049.952425627
0.001,1.0,additive,10.0,2809648.020123825
0.001,1.0,multiplicative,0.01,2389612.9554472566
0.001,1.0,multiplicative,0.1,2566150.4524418786
0.001,1.0,multiplicative,1.0,2603271.029265027
0.001,1.0,multiplicative,10.0,2612022.3022862645
0.001,10.0,additive,0.01,2749175.364230021
0.001,10.0,additive,0.1,2810314.7402030113
0.001,10.0,additive,1.0,2813972.8309867354
0.001,10.0,additive,10.0,2802771.0036213268
0.001,10.0,multiplicative,0.01,2387486.262862903
0.001,10.0,multiplicative,0.1,2565413.1569533646
0.001,10.0,multiplicative,1.0,2616487.376562835
0.001,10.0,multiplicative,10.0,2585150.4088600287
0.01,0.01,additive,0.01,2798635.4928153744
0.01,0.01,additive,0.1,2922853.7436484974
0.01,0.01,additive,1.0,2923195.264286911
0.01,0.01,additive,10.0,2922704.29800202
0.01,0.01,multiplicative,0.01,2369337.8432429004
0.01,0.01,multiplicative,0.1,2533598.677001053
0.01,0.01,multiplicative,1.0,2560997.4167431784
0.01,0.01,multiplicative,10.0,2558312.1808113507
0.01,0.1,additive,0.01,2799836.108280207
0.01,0.1,additive,0.1,2918632.719045426
0.01,0.1,additive,1.0,2923083.476190494
0.01,0.1,additive,10.0,2920651.397536062
0.01,0.1,multiplicative,0.01,2362946.5070511517
0.01,0.1,multiplicative,0.1,2584400.515677055
0.01,0.1,multiplicative,1.0,2613410.6513519674
0.01,0.1,multiplicative,10.0,2623125.325237794
0.01,1.0,additive,0.01,2800570.0937906154
0.01,1.0,additive,0.1,2920830.0853630365
0.01,1.0,additive,1.0,2922347.5703924713
0.01,1.0,additive,10.0,2923636.6608797237
0.01,1.0,multiplicative,0.01,2363468.1203119825
