changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,holidays_prior_scale,mse
0.001,0.01,additive,0.01,384528.24834357493
0.001,0.01,additive,0.1,385140.4788407473
0.001,0.01,additive,1.0,385932.9474561458
0.001,0.01,additive,10.0,385043.77929017605
0.001,0.01,multiplicative,0.01,378335.9196594153
0.001,0.01,multiplicative,0.1,381457.34812031675
0.001,0.01,multiplicative,1.0,380875.5498097199
0.001,0.01,multiplicative,10.0,380995.31615546724
0.001,0.1,additive,0.01,385448.4799285442
0.001,0.1,additive,0.1,385321.92213952605
0.001,0.1,additive,1.0,383812.2286523231
0.001,0.1,additive,10.0,384277.53159445175
0.001,0.1,multiplicative,0.01,378461.69467552245
0.001,0.1,multiplicative,0.1,380904.23982609616
0.001,0.1,multiplicative,1.0,380357.89093825326
0.001,0.1,multiplicative,10.0,380285.8972254261
0.001,1.0,additive,0.01,384469.76483053615
0.001,1.0,additive,0.1,385271.4527943505
0.001,1.0,additive,1.0,385117.93113461655
0.001,1.0,additive,10.0,384803.21483429027
0.001,1.0,multiplicative,0.01,380046.12143660407
0.001,1.0,multiplicative,0.1,380700.84699379234
0.001,1.0,multiplicative,1.0,380534.38707697915
0.001,1.0,multiplicative,10.0,380678.06614897965
0.001,10.0,additive,0.01,384412.26049712993
0.001,10.0,additive,0.1,385337.52848387585
0.001,10.0,additive,1.0,384218.1288327783
0.001,10.0,additive,10.0,385047.1044685989
0.001,10.0,multiplicative,0.01,380313.93565848673
0.001,10.0,multiplicative,0.1,380574.8599202024
0.001,10.0,multiplicative,1.0,380448.24881421094
0.001,10.0,multiplicative,10.0,380477.01078159956
0.01,0.01,additive,0.01,389721.9640112197
0.01,0.01,additive,0.1,389451.05899087165
0.01,0.01,additive,1.0,389725.0308955925
0.01,0.01,additive,10.0,389359.12376227527
0.01,0.01,multiplicative,0.01,389842.6548894543
0.01,0.01,multiplicative,0.1,384128.7622593417
0.01,0.01,multiplicative,1.0,384042.3344851313
