changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,holidays_prior_scale,mse
0.001,0.01,additive,0.01,360380.73634502204
0.001,0.01,additive,0.1,366788.92333531333
0.001,0.01,additive,1.0,366115.94355077733
0.001,0.01,additive,10.0,368664.75364938506
0.001,0.01,multiplicative,0.01,336719.52618168056
0.001,0.01,multiplicative,0.1,341595.87752772984
0.001,0.01,multiplicative,1.0,342379.348624529
0.001,0.01,multiplicative,10.0,341763.884341565
0.001,0.1,additive,0.01,361090.4118565949
0.001,0.1,additive,0.1,369312.7671586565
0.001,0.1,additive,1.0,369046.35813198553
0.001,0.1,additive,10.0,368471.49420110876
0.001,0.1,multiplicative,0.01,339280.6597697218
0.001,0.1,multiplicative,0.1,346173.35312197154
0.001,0.1,multiplicative,1.0,347035.5992359581
0.001,0.1,multiplicative,10.0,348022.75049198774
0.001,1.0,additive,0.01,357984.8382333942
0.001,1.0,additive,0.1,366823.0776323128
0.001,1.0,additive,1.0,368903.44955523545
0.001,1.0,additive,10.0,368651.25574478705
0.001,1.0,multiplicative,0.01,339222.13467738574
0.001,1.0,multiplicative,0.1,346776.816217852
0.001,1.0,multiplicative,1.0,348094.98526260635
0.001,1.0,multiplicative,10.0,349357.1948775619
0.001,10.0,additive,0.01,361354.13556574006
0.001,10.0,additive,0.1,367202.38742081955
0.001,10.0,additive,1.0,369490.20126871555
0.001,10.0,additive,10.0,369585.5906871247
0.001,10.0,multiplicative,0.01,339695.7217000996
0.001,10.0,multiplicative,0.1,347241.1566439858
0.001,10.0,multiplicative,1.0,348027.6761787926
0.001,10.0,multiplicative,10.0,347969.68605579063
0.01,0.01,additive,0.01,348230.6694343421
0.01,0.01,additive,0.1,350744.6744327761
0.01,0.01,additive,1.0,350821.3050908791
0.01,0.01,additive,10.0,350868.4167037207
0.01,0.01,multiplicative,0.01,340805.814321957
0.01,0.01,multiplicative,0.1,342746.0933144088
0.01,0.01,multiplicative,1.0,343508.39412948274
0.01,0.01,multiplicative,10.0,343393.62849938887
0.01,0.1,additive,0.01,348272.2367847368
0.01,0.1,additive,0.1,350476.4675074959
0.01,0.1,additive,1.0,350542.8189690391
0.01,0.1,additive,10.0,350591.79562834685
0.01,0.1,multiplicative,0.01,341849.16549328936
0.01,0.1,multiplicative,0.1,345481.55888699915
0.01,0.1,multiplicative,1.0,346529.7178602515
0.01,0.1,multiplicative,10.0,346074.32506664604
0.01,1.0,additive,0.01,348181.98508828855
0.01,1.0,additive,0.1,350465.2613583475
0.01,1.0,additive,1.0,350652.7030798569
0.01,1.0,additive,10.0,350711.6317090105
0.01,1.0,multiplicative,0.01,341973.3221598041
0.01,1.0,multiplicative,0.1,345603.0067600796
0.01,1.0,multiplicative,1.0,346140.8668109895
0.01,1.0,multiplicative,10.0,346992.57124459045
0.01,10.0,additive,0.01,348198.7105615371
0.01,10.0,additive,0.1,350613.1383858571
0.01,10.0,additive,1.0,350664.1218542675
0.01,10.0,additive,10.0,350553.92706831015
0.01,10.0,multiplicative,0.01,342265.91942327033
0.01,10.0,multiplicative,0.1,346051.2809177385
0.01,10.0,multiplicative,1.0,346534.75141707883
0.01,10.0,multiplicative,10.0,345988.79571708874
0.1,0.01,additive,0.01,365943.9461296018
0.1,0.01,additive,0.1,358750.0723928108
0.1,0.01,additive,1.0,360175.07437037193
0.1,0.01,additive,10.0,359201.4456421022
0.1,0.01,multiplicative,0.01,364255.9648157636
0.1,0.01,multiplicative,0.1,370142.4003475991
0.1,0.01,multiplicative,1.0,369594.4639144481
0.1,0.01,multiplicative,10.0,369566.8640937587
0.1,0.1,additive,0.01,372491.37508609565
0.1,0.1,additive,0.1,361770.0114829599
0.1,0.1,additive,1.0,361572.04907778616
0.1,0.1,additive,10.0,360997.16328307317
0.1,0.1,multiplicative,0.01,388638.0872656418
0.1,0.1,multiplicative,0.1,391618.41639200324
0.1,0.1,multiplicative,1.0,394992.82570438273
0.1,0.1,multiplicative,10.0,394910.4664930924
0.1,1.0,additive,0.01,375319.96907162294
0.1,1.0,additive,0.1,363511.4083439812
0.1,1.0,additive,1.0,362265.20534182346
0.1,1.0,additive,10.0,358580.6792578566
0.1,1.0,multiplicative,0.01,386866.7759108855
0.1,1.0,multiplicative,0.1,394218.43416264164
0.1,1.0,multiplicative,1.0,396477.38304427033
0.1,1.0,multiplicative,10.0,394761.3462553992
0.1,10.0,additive,0.01,370669.49012088845
0.1,10.0,additive,0.1,360833.01659112796
0.1,10.0,additive,1.0,360706.46327060414
0.1,10.0,additive,10.0,360659.234427565
0.1,10.0,multiplicative,0.01,387936.22297861153
0.1,10.0,multiplicative,0.1,394022.3167463489
0.1,10.0,multiplicative,1.0,395552.65922714263
0.1,10.0,multiplicative,10.0,394538.3932304018
0.5,0.01,additive,0.01,395250.1640109025
0.5,0.01,additive,0.1,393700.9090395229
0.5,0.01,additive,1.0,399605.98221450247
0.5,0.01,additive,10.0,396690.8023983318
0.5,0.01,multiplicative,0.01,365382.56259020325
0.5,0.01,multiplicative,0.1,375612.05700906453
0.5,0.01,multiplicative,1.0,377201.4011947398
0.5,0.01,multiplicative,10.0,376118.9474591194
0.5,0.1,additive,0.01,451349.72998707305
0.5,0.1,additive,0.1,478304.1595047739
0.5,0.1,additive,1.0,476039.41230477294
0.5,0.1,additive,10.0,464560.4733413141
0.5,0.1,multiplicative,0.01,377193.6374786195
0.5,0.1,multiplicative,0.1,391979.6390269228
0.5,0.1,multiplicative,1.0,390449.7935531292
0.5,0.1,multiplicative,10.0,393681.8845567681
0.5,1.0,additive,0.01,456746.7641364546
0.5,1.0,additive,0.1,470795.5720237739
0.5,1.0,additive,1.0,468330.95676728047
0.5,1.0,additive,10.0,475999.347792527
0.5,1.0,multiplicative,0.01,375516.77785278147
0.5,1.0,multiplicative,0.1,392481.4161996872
0.5,1.0,multiplicative,1.0,392820.34049231454
0.5,1.0,multiplicative,10.0,394248.8185350689
0.5,10.0,additive,0.01,444873.91177591373
0.5,10.0,additive,0.1,469822.106333144
0.5,10.0,additive,1.0,453639.3607822786
0.5,10.0,additive,10.0,475931.8369950371
0.5,10.0,multiplicative,0.01,375668.2165861812
0.5,10.0,multiplicative,0.1,392750.5549243985
0.5,10.0,multiplicative,1.0,392263.48207148147
0.5,10.0,multiplicative,10.0,394683.8651083673
