changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,holidays_prior_scale,mse
0.001,0.01,additive,0.01,9730875.144953918
0.001,0.01,additive,0.1,9804015.924332922
0.001,0.01,additive,1.0,9808326.923478186
0.001,0.01,additive,10.0,10179655.890072875
0.001,0.01,multiplicative,0.01,9702951.360394584
0.001,0.01,multiplicative,0.1,10304811.644971503
0.001,0.01,multiplicative,1.0,10047166.286094692
0.001,0.01,multiplicative,10.0,10179885.341838755
0.001,0.1,additive,0.01,9778854.1556778
0.001,0.1,additive,0.1,10152323.438368687
0.001,0.1,additive,1.0,9914583.531139186
0.001,0.1,additive,10.0,9922939.021801356
0.001,0.1,multiplicative,0.01,9674615.862124866
0.001,0.1,multiplicative,0.1,10050243.881861458
0.001,0.1,multiplicative,1.0,10282759.301371465
0.001,0.1,multiplicative,10.0,10287959.286412027
0.001,1.0,additive,0.01,9904072.430225845
0.001,1.0,additive,0.1,9840512.702564575
0.001,1.0,additive,1.0,10015918.274612648
0.001,1.0,additive,10.0,9836228.238779325
0.001,1.0,multiplicative,0.01,9665045.35189258
0.001,1.0,multiplicative,0.1,9920946.40570772
0.001,1.0,multiplicative,1.0,10269887.733185295
0.001,1.0,multiplicative,10.0,10376951.639560495
0.001,10.0,additive,0.01,9968512.383620884
0.001,10.0,additive,0.1,9966748.474932715
0.001,10.0,additive,1.0,9861011.950067898
0.001,10.0,additive,10.0,9876514.42059449
0.001,10.0,multiplicative,0.01,9689476.09014864
0.001,10.0,multiplicative,0.1,10046125.782536829
0.001,10.0,multiplicative,1.0,10275735.299628267
0.001,10.0,multiplicative,10.0,10370308.915564427
0.01,0.01,additive,0.01,9754816.221136011
0.01,0.01,additive,0.1,9869353.183233326
0.01,0.01,additive,1.0,9815591.567856096
0.01,0.01,additive,10.0,9816957.218581049
0.01,0.01,multiplicative,0.01,9647135.979069553
0.01,0.01,multiplicative,0.1,9825975.239474913
0.01,0.01,multiplicative,1.0,9831843.427893847
0.01,0.01,multiplicative,10.0,9839939.741979187
0.01,0.1,additive,0.01,9780511.501424728
0.01,0.1,additive,0.1,9960398.217423862
0.01,0.1,additive,1.0,9869690.342386577
0.01,0.1,additive,10.0,9935964.2564111
0.01,0.1,multiplicative,0.01,9652077.470037922
0.01,0.1,multiplicative,0.1,9936231.41002659
0.01,0.1,multiplicative,1.0,9927317.39793062
0.01,0.1,multiplicative,10.0,9917742.273787383
0.01,1.0,additive,0.01,9782893.144996764
0.01,1.0,additive,0.1,9864933.950962579
0.01,1.0,additive,1.0,9882491.310237221
0.01,1.0,additive,10.0,9883672.56345642
0.01,1.0,multiplicative,0.01,9651668.049399836
0.01,1.0,multiplicative,0.1,9909202.332998756
0.01,1.0,multiplicative,1.0,9934028.216763083
0.01,1.0,multiplicative,10.0,9938065.717193767
0.01,10.0,additive,0.01,9781721.97148944
0.01,10.0,additive,0.1,9916326.311396465
0.01,10.0,additive,1.0,9886421.759793963
0.01,10.0,additive,10.0,9914523.422751553
0.01,10.0,multiplicative,0.01,9655836.59295927
0.01,10.0,multiplicative,0.1,9898396.498535797
0.01,10.0,multiplicative,1.0,9953958.294297177
0.01,10.0,multiplicative,10.0,9930761.77665823
0.1,0.01,additive,0.01,9757322.544115731
0.1,0.01,additive,0.1,9856313.001770599
0.1,0.01,additive,1.0,9855307.707093349
0.1,0.01,additive,10.0,9862070.288544543
0.1,0.01,multiplicative,0.01,9643303.454326114
0.1,0.01,multiplicative,0.1,9841827.314789448
0.1,0.01,multiplicative,1.0,9855908.473357204
0.1,0.01,multiplicative,10.0,9852156.291224085
0.1,0.1,additive,0.01,9796896.117791973
0.1,0.1,additive,0.1,9931731.41971978
0.1,0.1,additive,1.0,9935466.035699653
0.1,0.1,additive,10.0,9929256.439568881
0.1,0.1,multiplicative,0.01,9655262.70613686
0.1,0.1,multiplicative,0.1,9947589.876751665
0.1,0.1,multiplicative,1.0,9967437.995471563
0.1,0.1,multiplicative,10.0,9963399.124973878
0.1,1.0,additive,0.01,9800290.896298915
0.1,1.0,additive,0.1,9934175.892389497
0.1,1.0,additive,1.0,9930152.24183488
0.1,1.0,additive,10.0,9933925.126889933
0.1,1.0,multiplicative,0.01,9656126.102911407
0.1,1.0,multiplicative,0.1,9947326.284743235
0.1,1.0,multiplicative,1.0,9974859.107985992
0.1,1.0,multiplicative,10.0,9971188.699509969
0.1,10.0,additive,0.01,9796739.185217898
0.1,10.0,additive,0.1,9937168.785960598
0.1,10.0,additive,1.0,9932956.941634849
0.1,10.0,additive,10.0,9932508.76411486
0.1,10.0,multiplicative,0.01,9656686.346277809
0.1,10.0,multiplicative,0.1,9944924.36361945
0.1,10.0,multiplicative,1.0,9975694.956860121
0.1,10.0,multiplicative,10.0,9971028.758384315
0.5,0.01,additive,0.01,9739421.531648079
0.5,0.01,additive,0.1,9794059.13968751
0.5,0.01,additive,1.0,9786352.261417598
0.5,0.01,additive,10.0,9787885.204181124
0.5,0.01,multiplicative,0.01,9641848.168549152
0.5,0.01,multiplicative,0.1,9793958.5582613
0.5,0.01,multiplicative,1.0,9801631.40359491
0.5,0.01,multiplicative,10.0,9802564.764102854
0.5,0.1,additive,0.01,9776912.412934452
0.5,0.1,additive,0.1,9852591.814498419
0.5,0.1,additive,1.0,9853683.492012918
0.5,0.1,additive,10.0,9852691.479036544
0.5,0.1,multiplicative,0.01,9652484.804659937
0.5,0.1,multiplicative,0.1,9885382.148585893
0.5,0.1,multiplicative,1.0,9903946.284146588
0.5,0.1,multiplicative,10.0,9903816.238363305
0.5,1.0,additive,0.01,9775893.510199774
0.5,1.0,additive,0.1,9858074.4447283
0.5,1.0,additive,1.0,9852737.536908947
0.5,1.0,additive,10.0,9855297.411469204
0.5,1.0,multiplicative,0.01,9653272.104563108
0.5,1.0,multiplicative,0.1,9893271.696197134
0.5,1.0,multiplicative,1.0,9911172.26545984
0.5,1.0,multiplicative,10.0,9912938.525175372
0.5,10.0,additive,0.01,9777466.950832866
0.5,10.0,additive,0.1,9856684.469248544
0.5,10.0,additive,1.0,9860677.26913103
0.5,10.0,additive,10.0,9851547.823521104
0.5,10.0,multiplicative,0.01,9653207.12393654
0.5,10.0,multiplicative,0.1,9892360.81405206
0.5,10.0,multiplicative,1.0,9912847.444090022
0.5,10.0,multiplicative,10.0,9913590.855159968
