changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,holidays_prior_scale,mse
0.001,0.01,additive,0.01,5081461.701149463
0.001,0.01,additive,0.1,5081332.067025126
0.001,0.01,additive,1.0,5077931.38493402
0.001,0.01,additive,10.0,5079805.059187901
0.001,0.01,multiplicative,0.01,5094928.043997888
0.001,0.01,multiplicative,0.1,5092115.247899117
0.001,0.01,multiplicative,1.0,5092694.4028060045
0.001,0.01,multiplicative,10.0,5094786.305076336
0.001,0.1,additive,0.01,5078232.421082317
0.001,0.1,additive,0.1,5078444.674191678
0.001,0.1,additive,1.0,5080669.2457997855
0.001,0.1,additive,10.0,5078896.509093732
0.001,0.1,multiplicative,0.01,5081386.180891371
0.001,0.1,multiplicative,0.1,5077007.733073129
0.001,0.1,multiplicative,1.0,5078238.838619291
0.001,0.1,multiplicative,10.0,5077262.806582919
0.001,1.0,additive,0.01,5078628.144726119
0.001,1.0,additive,0.1,5078687.667101458
0.001,1.0,additive,1.0,5078781.489396803
0.001,1.0,additive,10.0,5077960.837629438
0.001,1.0,multiplicative,0.01,5079409.759901087
0.001,1.0,multiplicative,0.1,5077048.28398686
0.001,1.0,multiplicative,1.0,5078189.009931636
0.001,1.0,multiplicative,10.0,5077439.184097615
0.001,10.0,additive,0.01,5079182.93436439
0.001,10.0,additive,0.1,5077867.345985885
0.001,10.0,additive,1.0,5078048.263605268
0.001,10.0,additive,10.0,5081735.235831265
0.001,10.0,multiplicative,0.01,5079632.922845602
0.001,10.0,multiplicative,0.1,5077520.760778948
0.001,10.0,multiplicative,1.0,5078540.353403641
0.001,10.0,multiplicative,10.0,5077818.702422035
0.01,0.01,additive,0.01,5080622.453687337
0.01,0.01,additive,0.1,5080228.07927637
0.01,0.01,additive,1.0,5080206.395389097
0.01,0.01,additive,10.0,5080209.989347959
0.01,0.01,multiplicative,0.01,5104028.490842831
0.01,0.01,multiplicative,0.1,5089674.610059391
0.01,0.01,multiplicative,1.0,5089356.056323067
0.01,0.01,multiplicative,10.0,5089330.666176216
0.01,0.1,additive,0.01,5080381.217645692
0.01,0.1,additive,0.1,5080260.062467704
0.01,0.1,additive,1.0,5080149.282305879
0.01,0.1,additive,10.0,5080103.306489466
0.01,0.1,multiplicative,0.01,5087293.143877007
0.01,0.1,multiplicative,0.1,5075946.57805724
0.01,0.1,multiplicative,1.0,5074951.390871477
0.01,0.1,multiplicative,10.0,5074949.4080193825
0.01,1.0,additive,0.01,5080437.850894717
0.01,1.0,additive,0.1,5080118.791433933
0.01,1.0,additive,1.0,5080260.181008663
0.01,1.0,additive,10.0,5079989.325398797
0.01,1.0,multiplicative,0.01,5087436.538140476
0.01,1.0,multiplicative,0.1,5074897.888807995
0.01,1.0,multiplicative,1.0,5074779.757234655
0.01,1.0,multiplicative,10.0,5074493.3576716045
0.01,10.0,additive,0.01,5080334.877834337
0.01,10.0,additive,0.1,5079857.70929472
0.01,10.0,additive,1.0,5080070.213188753
0.01,10.0,additive,10.0,5080154.196887882
0.01,10.0,multiplicative,0.01,5087167.291625015
0.01,10.0,multiplicative,0.1,5074681.720703862
0.01,10.0,multiplicative,1.0,5074969.957944429
0.01,10.0,multiplicative,10.0,5074597.852674024
0.1,0.01,additive,0.01,5082671.925288547
0.1,0.01,additive,0.1,5082381.208284966
0.1,0.01,additive,1.0,5082521.8684485555
0.1,0.01,additive,10.0,5082506.887546236
0.1,0.01,multiplicative,0.01,5150031.973823917
0.1,0.01,multiplicative,0.1,5093006.160091975
0.1,0.01,multiplicative,1.0,5090870.225364962
0.1,0.01,multiplicative,10.0,5090692.125918202
0.1,0.1,additive,0.01,5082337.47764689
0.1,0.1,additive,0.1,5082254.082034411
0.1,0.1,additive,1.0,5082170.16191616
0.1,0.1,additive,10.0,5082215.202889168
0.1,0.1,multiplicative,0.01,5177717.011647525
0.1,0.1,multiplicative,0.1,5089539.18825398
0.1,0.1,multiplicative,1.0,5084514.715328547
0.1,0.1,multiplicative,10.0,5084251.373288183
0.1,1.0,additive,0.01,5082507.974818966
0.1,1.0,additive,0.1,5082298.046765253
0.1,1.0,additive,1.0,5082238.39354718
0.1,1.0,additive,10.0,5082369.676188277
0.1,1.0,multiplicative,0.01,5184424.637814326
0.1,1.0,multiplicative,0.1,5089092.457940728
0.1,1.0,multiplicative,1.0,5084665.313670255
0.1,1.0,multiplicative,10.0,5085124.90468293
0.1,10.0,additive,0.01,5082170.709338688
0.1,10.0,additive,0.1,5082261.3249171
0.1,10.0,additive,1.0,5082299.939803844
0.1,10.0,additive,10.0,5082305.068255091
0.1,10.0,multiplicative,0.01,5187560.974402531
0.1,10.0,multiplicative,0.1,5091014.928010065
0.1,10.0,multiplicative,1.0,5085010.6330241505
0.1,10.0,multiplicative,10.0,5085622.555984195
0.5,0.01,additive,0.01,5145423.76127203
0.5,0.01,additive,0.1,5081977.262077305
0.5,0.01,additive,1.0,5083233.535206128
0.5,0.01,additive,10.0,5081848.184932122
0.5,0.01,multiplicative,0.01,5195871.765501522
0.5,0.01,multiplicative,0.1,5114629.982456748
0.5,0.01,multiplicative,1.0,5108682.946412892
0.5,0.01,multiplicative,10.0,5123809.697964704
0.5,0.1,additive,0.01,5185984.248080445
0.5,0.1,additive,0.1,5081683.632272237
0.5,0.1,additive,1.0,5083176.32330112
0.5,0.1,additive,10.0,5082951.91106009
0.5,0.1,multiplicative,0.01,5386024.016913765
0.5,0.1,multiplicative,0.1,5140422.2835963825
0.5,0.1,multiplicative,1.0,5128742.231078602
0.5,0.1,multiplicative,10.0,5128120.034281203
0.5,1.0,additive,0.01,5116543.54690552
0.5,1.0,additive,0.1,5082762.131998944
0.5,1.0,additive,1.0,5081796.302613988
0.5,1.0,additive,10.0,5084333.028383631
0.5,1.0,multiplicative,0.01,5383516.161125107
0.5,1.0,multiplicative,0.1,5141016.180713748
