changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,holidays_prior_scale,mse
0.001,0.01,additive,0.01,3527250.398106653
0.001,0.01,additive,0.1,3617463.481801537
0.001,0.01,additive,1.0,3641107.374621952
0.001,0.01,additive,10.0,3626431.7552099726
0.001,0.01,multiplicative,0.01,3219136.7433015853
0.001,0.01,multiplicative,0.1,3318130.678729042
0.001,0.01,multiplicative,1.0,3298064.8325757575
0.001,0.01,multiplicative,10.0,3333504.515548835
0.001,0.1,additive,0.01,3510106.745496533
0.001,0.1,additive,0.1,3590108.8180352384
0.001,0.1,additive,1.0,3590047.569451181
0.001,0.1,additive,10.0,3613105.0875734757
0.001,0.1,multiplicative,0.01,3248045.72998112
0.001,0.1,multiplicative,0.1,3387179.096995163
0.001,0.1,multiplicative,1.0,3368923.047486838
0.001,0.1,multiplicative,10.0,3376763.03102175
0.001,1.0,additive,0.01,3542420.633850885
0.001,1.0,additive,0.1,3588210.5401765862
0.001,1.0,additive,1.0,3615864.237631012
0.001,1.0,additive,10.0,3598483.14207678
0.001,1.0,multiplicative,0.01,3245353.5416331952
0.001,1.0,multiplicative,0.1,3385812.4353275183
0.001,1.0,multiplicative,1.0,3338025.908382094
0.001,1.0,multiplicative,10.0,3371331.0735110375
0.001,10.0,additive,0.01,3560303.795736862
0.001,10.0,additive,0.1,3585702.582984575
0.001,10.0,additive,1.0,3652293.2293388634
0.001,10.0,additive,10.0,3606030.907796175
0.001,10.0,multiplicative,0.01,3254444.338535606
0.001,10.0,multiplicative,0.1,3384011.3402962266
0.001,10.0,multiplicative,1.0,3364078.4878016603
0.001,10.0,multiplicative,10.0,3347700.611064462
0.01,0.01,additive,0.01,3559952.3666440304
0.01,0.01,additive,0.1,3628261.5827347254
0.01,0.01,additive,1.0,3627198.895744117
0.01,0.01,additive,10.0,3626815.6592021207
0.01,0.01,multiplicative,0.01,3221900.119476394
0.01,0.01,multiplicative,0.1,3361099.85414884
0.01,0.01,multiplicative,1.0,3373633.8254469386
0.01,0.01,multiplicative,10.0,3372171.7213809825
0.01,0.1,additive,0.01,3567413.704251422
0.01,0.1,additive,0.1,3632428.121582257
0.01,0.1,additive,1.0,3635059.584586509
0.01,0.1,additive,10.0,3630732.3862376646
0.01,0.1,multiplicative,0.01,3171343.8304843623
0.01,0.1,multiplicative,0.1,3355284.152878464
0.01,0.1,multiplicative,1.0,3355780.51118433
0.01,0.1,multiplicative,10.0,3358075.9336020607
0.01,1.0,additive,0.01,3564467.953811321
0.01,1.0,additive,0.1,3636229.7271365016
0.01,1.0,additive,1.0,3626100.0380218336
0.01,1.0,additive,10.0,3626306.719468436
0.01,1.0,multiplicative,0.01,3169754.6289769867
0.01,1.0,multiplicative,0.1,3339978.1079589794
0.01,1.0,multiplicative,1.0,3372096.4927081666
0.01,1.0,multiplicative,10.0,3361161.6537060468
0.01,10.0,additive,0.01,3567783.5612027263
0.01,10.0,additive,0.1,3629314.028755485
0.01,10.0,additive,1.0,3630547.1737760142
0.01,10.0,additive,10.0,3625682.103308155
0.01,10.0,multiplicative,0.01,3170079.0917947614
0.01,10.0,multiplicative,0.1,3355711.7862020805
0.01,10.0,multiplicative,1.0,3357468.1603369894
0.01,10.0,multiplicative,10.0,3350093.8243642272
0.1,0.01,additive,0.01,3135092.653193718
0.1,0.01,additive,0.1,3224454.8305772617
0.1,0.01,additive,1.0,3213233.967251059
0.1,0.01,additive,10.0,3210466.356262494
0.1,0.01,multiplicative,0.01,3120243.468683993
0.1,0.01,multiplicative,0.1,3198728.419014756
0.1,0.01,multiplicative,1.0,3205888.4251482775
0.1,0.01,multiplicative,10.0,3204223.4600729984
0.1,0.1,additive,0.01,3120420.411063002
0.1,0.1,additive,0.1,3194746.6049280874
0.1,0.1,additive,1.0,3164680.2098490386
0.1,0.1,additive,10.0,3199980.8797567557
0.1,0.1,multiplicative,0.01,3110577.729228467
0.1,0.1,multiplicative,0.1,3162310.403486115
0.1,0.1,multiplicative,1.0,3176933.6583438134
0.1,0.1,multiplicative,10.0,3172109.685801282
0.1,1.0,additive,0.01,3119944.772505053
0.1,1.0,additive,0.1,3193992.3744903454
0.1,1.0,additive,1.0,3186899.1233298252
0.1,1.0,additive,10.0,3200221.7769021275
0.1,1.0,multiplicative,0.01,3102798.6111930143
0.1,1.0,multiplicative,0.1,3172366.3052827297
0.1,1.0,multiplicative,1.0,3173451.5657865684
0.1,1.0,multiplicative,10.0,3174439.3499726583
0.1,10.0,additive,0.01,3119179.456640402
0.1,10.0,additive,0.1,3182656.5083347633
0.1,10.0,additive,1.0,3186823.8887968534
0.1,10.0,additive,10.0,3187679.2194376164
0.1,10.0,multiplicative,0.01,3104103.3351445184
0.1,10.0,multiplicative,0.1,3170293.3759920145
0.1,10.0,multiplicative,1.0,3180112.5461255573
0.1,10.0,multiplicative,10.0,3171598.0898194206
0.5,0.01,additive,0.01,3132853.4727426944
0.5,0.01,additive,0.1,3362349.260170449
0.5,0.01,additive,1.0,3387116.703636584
0.5,0.01,additive,10.0,3389108.033010268
0.5,0.01,multiplicative,0.01,3114769.653218803
0.5,0.01,multiplicative,0.1,3181193.439307044
0.5,0.01,multiplicative,1.0,3187613.947062574
0.5,0.01,multiplicative,10.0,3187590.755840929
0.5,0.1,additive,0.01,3410909.693050896
0.5,0.1,additive,0.1,3217767.005006336
0.5,0.1,additive,1.0,3213784.126001096
0.5,0.1,additive,10.0,3219027.480759668
0.5,0.1,multiplicative,0.01,3135061.255870893
0.5,0.1,multiplicative,0.1,3152147.0750688943
0.5,0.1,multiplicative,1.0,3165666.808919228
0.5,0.1,multiplicative,10.0,3171919.970047085
0.5,1.0,additive,0.01,3404626.9885749156
0.5,1.0,additive,0.1,3229315.2734721308
0.5,1.0,additive,1.0,3165277.773079721
0.5,1.0,additive,10.0,3233931.8934098124
0.5,1.0,multiplicative,0.01,3122393.9269366474
0.5,1.0,multiplicative,0.1,3159466.0515013523
0.5,1.0,multiplicative,1.0,3168907.5392254833
0.5,1.0,multiplicative,10.0,3179168.8971064505
0.5,10.0,additive,0.01,3352219.022930928
0.5,10.0,additive,0.1,3221238.828322199
0.5,10.0,additive,1.0,3248384.6838894365
0.5,10.0,additive,10.0,3258913.6868424406
0.5,10.0,multiplicative,0.01,3123733.795547199
0.5,10.0,multiplicative,0.1,3164554.0266414997
0.5,10.0,multiplicative,1.0,3172340.9499245663
0.5,10.0,multiplicative,10.0,3180879.81679747
