changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,holidays_prior_scale,mse
0.001,0.01,additive,0.01,527760.134989343
0.001,0.01,additive,0.1,525274.0974395096
0.001,0.01,additive,1.0,524288.97525083
0.001,0.01,additive,10.0,524544.8666660421
0.001,0.01,multiplicative,0.01,523715.64640480414
0.001,0.01,multiplicative,0.1,526218.2404775545
0.001,0.01,multiplicative,1.0,530117.7359958341
0.001,0.01,multiplicative,10.0,527053.0013002353
0.001,0.1,additive,0.01,526247.4356816238
0.001,0.1,additive,0.1,527256.6940520531
0.001,0.1,additive,1.0,519886.42075321026
0.001,0.1,additive,10.0,518282.7141961203
0.001,0.1,multiplicative,0.01,523834.92479374254
0.001,0.1,multiplicative,0.1,521600.31437783194
0.001,0.1,multiplicative,1.0,524062.75103388535
0.001,0.1,multiplicative,10.0,524080.5833484575
0.001,1.0,additive,0.01,526915.2031098525
0.001,1.0,additive,0.1,524697.6221229992
0.001,1.0,additive,1.0,520162.5684239037
0.001,1.0,additive,10.0,526723.9149844222
0.001,1.0,multiplicative,0.01,524673.7291503621
0.001,1.0,multiplicative,0.1,524323.5266180737
0.001,1.0,multiplicative,1.0,520807.41500276985
0.001,1.0,multiplicative,10.0,520751.4431662589
0.001,10.0,additive,0.01,527258.7629219632
0.001,10.0,additive,0.1,524584.9215272771
0.001,10.0,additive,1.0,525715.4499700125
0.001,10.0,additive,10.0,526677.7383846298
0.001,10.0,multiplicative,0.01,525355.790681926
0.001,10.0,multiplicative,0.1,526318.6326436445
0.001,10.0,multiplicative,1.0,524274.2738994187
0.001,10.0,multiplicative,10.0,526124.4029168866
0.01,0.01,additive,0.01,525809.5028393562
0.01,0.01,additive,0.1,518895.44948249444
0.01,0.01,additive,1.0,518610.08076605323
0.01,0.01,additive,10.0,518688.93310862064
0.01,0.01,multiplicative,0.01,526169.5061500868
0.01,0.01,multiplicative,0.1,518712.61946666345
0.01,0.01,multiplicative,1.0,518279.12750487385
0.01,0.01,multiplicative,10.0,517846.3411259555
0.01,0.1,additive,0.01,526319.5500845632
0.01,0.1,additive,0.1,518308.64818830753
0.01,0.1,additive,1.0,518020.45272143325
0.01,0.1,additive,10.0,518471.05218986736
0.01,0.1,multiplicative,0.01,525809.8130689118
0.01,0.1,multiplicative,0.1,517283.86425552575
0.01,0.1,multiplicative,1.0,515951.10834090906
0.01,0.1,multiplicative,10.0,516074.4864782462
0.01,1.0,additive,0.01,526221.4279160609
0.01,1.0,additive,0.1,518256.6103446024
0.01,1.0,additive,1.0,518147.7771140272
0.01,1.0,additive,10.0,518510.93686444126
0.01,1.0,multiplicative,0.01,526614.3306474539
0.01,1.0,multiplicative,0.1,517295.0723701755
0.01,1.0,multiplicative,1.0,516487.844972565
0.01,1.0,multiplicative,10.0,516062.2374693333
0.01,10.0,additive,0.01,526536.6512619815
0.01,10.0,additive,0.1,518310.5428350506
0.01,10.0,additive,1.0,518016.62467754044
0.01,10.0,additive,10.0,518670.7182797622
0.01,10.0,multiplicative,0.01,526403.6777170799
0.01,10.0,multiplicative,0.1,517140.94639217877
0.01,10.0,multiplicative,1.0,516250.453897124
0.01,10.0,multiplicative,10.0,516422.7539669425
0.1,0.01,additive,0.01,530884.7718078794
0.1,0.01,additive,0.1,515051.4398672901
0.1,0.01,additive,1.0,515000.81417267123
0.1,0.01,additive,10.0,514971.15310065966
0.1,0.01,multiplicative,0.01,542588.625220259
0.1,0.01,multiplicative,0.1,515833.6457138399
0.1,0.01,multiplicative,1.0,515490.9496336686
0.1,0.01,multiplicative,10.0,515496.52947984694
0.1,0.1,additive,0.01,531269.062060878
0.1,0.1,additive,0.1,514707.53447218315
0.1,0.1,additive,1.0,514602.28157599375
0.1,0.1,additive,10.0,514691.38192190847
0.1,0.1,multiplicative,0.01,549438.8092408986
0.1,0.1,multiplicative,0.1,513976.5757592101
0.1,0.1,multiplicative,1.0,513471.28493124706
0.1,0.1,multiplicative,10.0,513679.3329247163
0.1,1.0,additive,0.01,531726.5624700837
0.1,1.0,additive,0.1,514733.49782757903
0.1,1.0,additive,1.0,514611.16165336524
0.1,1.0,additive,10.0,514581.30337728356
0.1,1.0,multiplicative,0.01,549252.0609146131
0.1,1.0,multiplicative,0.1,514004.65800669394
0.1,1.0,multiplicative,1.0,513477.2000973745
0.1,1.0,multiplicative,10.0,513568.33632571966
0.1,10.0,additive,0.01,531589.6228836201
0.1,10.0,additive,0.1,514698.1055770747
0.1,10.0,additive,1.0,514586.2227344546
0.1,10.0,additive,10.0,514676.8631234708
0.1,10.0,multiplicative,0.01,549634.0487576271
0.1,10.0,multiplicative,0.1,514054.3486515692
0.1,10.0,multiplicative,1.0,513506.2043161882
0.1,10.0,multiplicative,10.0,513475.5986756843
0.5,0.01,additive,0.01,572910.8526351904
0.5,0.01,additive,0.1,515578.6165211667
0.5,0.01,additive,1.0,515668.7007485862
0.5,0.01,additive,10.0,515475.91552041884
0.5,0.01,multiplicative,0.01,567492.3480351005
0.5,0.01,multiplicative,0.1,520441.70880793355
0.5,0.01,multiplicative,1.0,517299.6786306912
0.5,0.01,multiplicative,10.0,517000.7817799453
0.5,0.1,additive,0.01,624284.0692620238
0.5,0.1,additive,0.1,515670.06653163786
0.5,0.1,additive,1.0,518906.88256355573
0.5,0.1,additive,10.0,520024.31775029626
0.5,0.1,multiplicative,0.01,646902.4892018436
0.5,0.1,multiplicative,0.1,532259.3361579004
0.5,0.1,multiplicative,1.0,523007.5698218947
0.5,0.1,multiplicative,10.0,525519.2910395357
0.5,1.0,additive,0.01,694798.5929950734
0.5,1.0,additive,0.1,531088.5085119724
0.5,1.0,additive,1.0,516379.9711013551
0.5,1.0,additive,10.0,516298.3300773136
0.5,1.0,multiplicative,0.01,660341.8326325328
0.5,1.0,multiplicative,0.1,531821.4153764447
0.5,1.0,multiplicative,1.0,525074.5055932632
0.5,1.0,multiplicative,10.0,536970.6603499079
0.5,10.0,additive,0.01,658285.0759008651
0.5,10.0,additive,0.1,517072.4039415131
0.5,10.0,additive,1.0,518119.37674965785
0.5,10.0,additive,10.0,515644.07922152657
0.5,10.0,multiplicative,0.01,647754.4037061295
0.5,10.0,multiplicative,0.1,527824.69261536
0.5,10.0,multiplicative,1.0,524825.7800278435
0.5,10.0,multiplicative,10.0,529469.234607068
