changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,holidays_prior_scale,mse
0.001,0.01,additive,0.01,9751.480656936292
0.001,0.01,additive,0.1,9686.3574194574
0.001,0.01,additive,1.0,9673.722027128995
0.001,0.01,additive,10.0,9673.137704129007
0.001,0.01,multiplicative,0.01,10605.045365598207
0.001,0.01,multiplicative,0.1,9983.807386853203
0.001,0.01,multiplicative,1.0,10674.52884995882
0.001,0.01,multiplicative,10.0,10714.310464671882
0.001,0.1,additive,0.01,9880.536054461358
0.001,0.1,additive,0.1,9820.36858167053
0.001,0.1,additive,1.0,9830.978350968291
0.001,0.1,additive,10.0,9831.133548320637
0.001,0.1,multiplicative,0.01,10844.071540890549
0.001,0.1,multiplicative,0.1,10992.279878523666
0.001,0.1,multiplicative,1.0,10894.652719633392
0.001,0.1,multiplicative,10.0,10682.583004081082
0.001,1.0,additive,0.01,9886.732753674414
0.001,1.0,additive,0.1,9827.916586922342
0.001,1.0,additive,1.0,9825.463417493407
0.001,1.0,additive,10.0,9825.465183340644
0.001,1.0,multiplicative,0.01,10816.625027496319
0.001,1.0,multiplicative,0.1,10186.858225031006
0.001,1.0,multiplicative,1.0,10160.358802179098
0.001,1.0,multiplicative,10.0,10984.597262816917
0.001,10.0,additive,0.01,9883.192405503996
0.001,10.0,additive,0.1,9828.057770125279
0.001,10.0,additive,1.0,9825.29458168719
0.001,10.0,additive,10.0,9825.471773664813
0.001,10.0,multiplicative,0.01,10213.566559064131
0.001,10.0,multiplicative,0.1,10542.406844861405
0.001,10.0,multiplicative,1.0,10931.785063976318
0.001,10.0,multiplicative,10.0,10960.169767424632
0.01,0.01,additive,0.01,9683.500644111955
0.01,0.01,additive,0.1,10896.946093730166
0.01,0.01,additive,1.0,11720.680082736608
0.01,0.01,additive,10.0,11014.38708100057
0.01,0.01,multiplicative,0.01,8935.76102603453
0.01,0.01,multiplicative,0.1,11710.868958976085
0.01,0.01,multiplicative,1.0,10641.732192609008
0.01,0.01,multiplicative,10.0,10861.030201547437
