changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,holidays_prior_scale,mse
0.001,0.01,additive,0.01,640108.244980076
0.001,0.01,additive,0.1,707136.451175106
0.001,0.01,additive,1.0,679382.4567695684
0.001,0.01,additive,10.0,774909.0062925993
0.001,0.01,multiplicative,0.01,727516.9500719251
0.001,0.01,multiplicative,0.1,917741.7645025586
0.001,0.01,multiplicative,1.0,786001.7926540303
0.001,0.01,multiplicative,10.0,981702.6874268712
0.001,0.1,additive,0.01,672151.1115533693
0.001,0.1,additive,0.1,613276.968496673
0.001,0.1,additive,1.0,687811.9882691922
0.001,0.1,additive,10.0,667762.9202603808
0.001,0.1,multiplicative,0.01,814078.6759778641
0.001,0.1,multiplicative,0.1,814164.6280470788
0.001,0.1,multiplicative,1.0,777242.6317352878
0.001,0.1,multiplicative,10.0,769801.9487894678
0.001,1.0,additive,0.01,672203.4441531969
0.001,1.0,additive,0.1,645486.1123556835
0.001,1.0,additive,1.0,675633.0078127207
0.001,1.0,additive,10.0,720774.2675936029
0.001,1.0,multiplicative,0.01,798969.1427114104
0.001,1.0,multiplicative,0.1,766881.6797926935
0.001,1.0,multiplicative,1.0,778550.8460715336
0.001,1.0,multiplicative,10.0,759017.7838630764
0.001,10.0,additive,0.01,658010.1463638888
0.001,10.0,additive,0.1,668138.8280417705
0.001,10.0,additive,1.0,737841.5368903963
0.001,10.0,additive,10.0,691568.3116633615
0.001,10.0,multiplicative,0.01,780753.8439466899
0.001,10.0,multiplicative,0.1,730910.200340558
0.001,10.0,multiplicative,1.0,757978.5913216347
0.001,10.0,multiplicative,10.0,743218.2512942251
0.01,0.01,additive,0.01,590135.8826713186
0.01,0.01,additive,0.1,767644.544000445
0.01,0.01,additive,1.0,848244.2066184533
0.01,0.01,additive,10.0,837265.2261282447
0.01,0.01,multiplicative,0.01,832662.5624130483
0.01,0.01,multiplicative,0.1,1146860.8627907117
0.01,0.01,multiplicative,1.0,1185271.569768745
0.01,0.01,multiplicative,10.0,1340021.7040904192
0.01,0.1,additive,0.01,623784.255159191
0.01,0.1,additive,0.1,817511.6915398985
0.01,0.1,additive,1.0,845721.9958855974
0.01,0.1,additive,10.0,881934.770946949
0.01,0.1,multiplicative,0.01,816437.5495490229
0.01,0.1,multiplicative,0.1,904275.6902658842
0.01,0.1,multiplicative,1.0,930351.867340365
0.01,0.1,multiplicative,10.0,1136506.2946106014
0.01,1.0,additive,0.01,618911.2509711873
0.01,1.0,additive,0.1,844417.8939462135
0.01,1.0,additive,1.0,899834.9784739496
0.01,1.0,additive,10.0,866691.5831995816
0.01,1.0,multiplicative,0.01,809693.0759778501
0.01,1.0,multiplicative,0.1,926348.5491213433
0.01,1.0,multiplicative,1.0,911372.7472089997
0.01,1.0,multiplicative,10.0,1139699.8512554434
0.01,10.0,additive,0.01,617484.3918991382
0.01,10.0,additive,0.1,829426.48198462
0.01,10.0,additive,1.0,946961.0434253656
0.01,10.0,additive,10.0,878389.7767030289
0.01,10.0,multiplicative,0.01,819129.769672427
0.01,10.0,multiplicative,0.1,910588.2612901737
0.01,10.0,multiplicative,1.0,909177.508842581
0.01,10.0,multiplicative,10.0,943619.2986403379
0.1,0.01,additive,0.01,396538.4438614481
0.1,0.01,additive,0.1,414962.78684277914
0.1,0.01,additive,1.0,456505.34765964496
0.1,0.01,additive,10.0,446797.79256970703
0.1,0.01,multiplicative,0.01,424294.8210283694
0.1,0.01,multiplicative,0.1,1014162.729490989
0.1,0.01,multiplicative,1.0,1056706.6100187257
0.1,0.01,multiplicative,10.0,1051374.3939359288
0.1,0.1,additive,0.01,400232.7998101503
0.1,0.1,additive,0.1,428784.56412531045
0.1,0.1,additive,1.0,465426.4174357991
0.1,0.1,additive,10.0,452727.71561676246
0.1,0.1,multiplicative,0.01,492878.44031357736
0.1,0.1,multiplicative,0.1,652902.6300543742
0.1,0.1,multiplicative,1.0,711745.9358765032
0.1,0.1,multiplicative,10.0,678242.1138223658
0.1,1.0,additive,0.01,398581.64919113164
0.1,1.0,additive,0.1,426585.5491058466
0.1,1.0,additive,1.0,456032.64071058994
0.1,1.0,additive,10.0,446584.5649980141
0.1,1.0,multiplicative,0.01,490562.52830163116
0.1,1.0,multiplicative,0.1,608390.9185396162
0.1,1.0,multiplicative,1.0,3252472.032514221
0.1,1.0,multiplicative,10.0,3559916.564104446
0.1,10.0,additive,0.01,400448.03541272087
0.1,10.0,additive,0.1,422503.8177600682
0.1,10.0,additive,1.0,466540.6641979365
0.1,10.0,additive,10.0,453566.1643494104
0.1,10.0,multiplicative,0.01,498803.5254831677
0.1,10.0,multiplicative,0.1,633357.6259068003
0.1,10.0,multiplicative,1.0,3388740.4424185865
0.1,10.0,multiplicative,10.0,3372714.014952214
0.5,0.01,additive,0.01,458759.6398408563
0.5,0.01,additive,0.1,560402.6741841905
0.5,0.01,additive,1.0,587222.2135584594
0.5,0.01,additive,10.0,584525.8238337303
0.5,0.01,multiplicative,0.01,847667.2882549589
0.5,0.01,multiplicative,0.1,767437.2303086368
0.5,0.01,multiplicative,1.0,792281.6930188509
0.5,0.01,multiplicative,10.0,791650.9941563255
0.5,0.1,additive,0.01,745481.5346164989
0.5,0.1,additive,0.1,1490883.759025612
0.5,0.1,additive,1.0,1584712.212524563
0.5,0.1,additive,10.0,1558659.973291983
0.5,0.1,multiplicative,0.01,2687544.302462719
0.5,0.1,multiplicative,0.1,3483655.9581040507
0.5,0.1,multiplicative,1.0,3604788.0172249703
0.5,0.1,multiplicative,10.0,3667727.0654687933
0.5,1.0,additive,0.01,672626.0860540272
0.5,1.0,additive,0.1,1307734.9175777617
0.5,1.0,additive,1.0,1561175.0256610233
0.5,1.0,additive,10.0,1478295.1616821075
0.5,1.0,multiplicative,0.01,2885055.805957261
0.5,1.0,multiplicative,0.1,3789614.1202611933
0.5,1.0,multiplicative,1.0,4300859.497357096
0.5,1.0,multiplicative,10.0,4490943.665213399
0.5,10.0,additive,0.01,760830.7921932728
0.5,10.0,additive,0.1,1517733.8015918082
0.5,10.0,additive,1.0,1642336.972598436
0.5,10.0,additive,10.0,1435925.0435088328
0.5,10.0,multiplicative,0.01,2774076.028194257
0.5,10.0,multiplicative,0.1,3842774.9324688017
0.5,10.0,multiplicative,1.0,4645446.881803854
0.5,10.0,multiplicative,10.0,4423635.203582402
