changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,holidays_prior_scale,mse
0.001,0.01,additive,0.01,635682.1225678218
0.001,0.01,additive,0.1,643376.753600792
0.001,0.01,additive,1.0,643385.6896950185
0.001,0.01,additive,10.0,642397.5086559141
0.001,0.01,multiplicative,0.01,633378.2368816448
0.001,0.01,multiplicative,0.1,649747.541240614
0.001,0.01,multiplicative,1.0,649756.2635348812
0.001,0.01,multiplicative,10.0,649770.1794590283
0.001,0.1,additive,0.01,636007.5081545173
0.001,0.1,additive,0.1,640787.827165092
0.001,0.1,additive,1.0,642500.47003856
0.001,0.1,additive,10.0,644754.5511906022
0.001,0.1,multiplicative,0.01,632728.2862887472
0.001,0.1,multiplicative,0.1,649531.1704471207
0.001,0.1,multiplicative,1.0,649834.8323276526
0.001,0.1,multiplicative,10.0,650178.7236662382
0.001,1.0,additive,0.01,637394.5474556157
0.001,1.0,additive,0.1,642165.5877795751
0.001,1.0,additive,1.0,643186.9730094313
0.001,1.0,additive,10.0,644207.3950908319
0.001,1.0,multiplicative,0.01,632550.5249515583
0.001,1.0,multiplicative,0.1,650108.4596759661
0.001,1.0,multiplicative,1.0,649798.3768587745
0.001,1.0,multiplicative,10.0,650128.1680669324
0.001,10.0,additive,0.01,635288.6656760449
0.001,10.0,additive,0.1,639458.9770934826
0.001,10.0,additive,1.0,643564.6385069374
0.001,10.0,additive,10.0,642915.2958300263
0.001,10.0,multiplicative,0.01,632985.2529657523
0.001,10.0,multiplicative,0.1,649957.5824696276
0.001,10.0,multiplicative,1.0,649754.804087389
0.001,10.0,multiplicative,10.0,649908.1834255673
0.01,0.01,additive,0.01,626953.2493715315
0.01,0.01,additive,0.1,635135.4064447427
0.01,0.01,additive,1.0,635721.9390848702
0.01,0.01,additive,10.0,635434.9635657335
0.01,0.01,multiplicative,0.01,662016.806683468
0.01,0.01,multiplicative,0.1,707868.4211310899
0.01,0.01,multiplicative,1.0,709005.7203764224
0.01,0.01,multiplicative,10.0,708673.6809342732
0.01,0.1,additive,0.01,627154.2892894722
0.01,0.1,additive,0.1,635571.7359378161
0.01,0.1,additive,1.0,635832.145013147
0.01,0.1,additive,10.0,636357.61709468
0.01,0.1,multiplicative,0.01,664387.7713909162
0.01,0.1,multiplicative,0.1,720468.3672556701
0.01,0.1,multiplicative,1.0,721887.2586623029
0.01,0.1,multiplicative,10.0,746114.5023457978
0.01,1.0,additive,0.01,627165.7132561534
0.01,1.0,additive,0.1,635582.7858946042
0.01,1.0,additive,1.0,635554.036836368
0.01,1.0,additive,10.0,635212.3530629112
0.01,1.0,multiplicative,0.01,665660.9097822839
0.01,1.0,multiplicative,0.1,726512.7267600764
0.01,1.0,multiplicative,1.0,738862.3349169013
0.01,1.0,multiplicative,10.0,724835.9621703336
0.01,10.0,additive,0.01,627132.8313308044
0.01,10.0,additive,0.1,636232.3868161222
0.01,10.0,additive,1.0,636024.5656469688
0.01,10.0,additive,10.0,635494.5742100794
0.01,10.0,multiplicative,0.01,663224.4594142968
0.01,10.0,multiplicative,0.1,725737.0998494488
