changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,holidays_prior_scale,mse
0.01,10.0,multiplicative,1.0,744078.7631254798
0.01,10.0,multiplicative,10.0,721606.3842693421
0.1,0.01,additive,0.01,640774.1085180482
0.1,0.01,additive,0.1,665256.7472623262
0.1,0.01,additive,1.0,665391.5615494859
0.1,0.01,additive,10.0,665290.2458015518
0.1,0.01,multiplicative,0.01,705803.7598032022
0.1,0.01,multiplicative,0.1,790594.3684341329
0.1,0.01,multiplicative,1.0,788877.6778638238
0.1,0.01,multiplicative,10.0,790874.8288823235
0.1,0.1,additive,0.01,641046.4714958897
0.1,0.1,additive,0.1,665992.3279976458
0.1,0.1,additive,1.0,666367.126203913
0.1,0.1,additive,10.0,666829.2957052012
0.1,0.1,multiplicative,0.01,712341.834973507
0.1,0.1,multiplicative,0.1,778375.1332251132
0.1,0.1,multiplicative,1.0,758145.0924223673
0.1,0.1,multiplicative,10.0,753798.3507123704
0.1,1.0,additive,0.01,641156.3210040396
0.1,1.0,additive,0.1,665287.4273413072
0.1,1.0,additive,1.0,666517.626435945
0.1,1.0,additive,10.0,666776.121168782
0.1,1.0,multiplicative,0.01,709579.4433137504
0.1,1.0,multiplicative,0.1,778000.0190045794
0.1,1.0,multiplicative,1.0,753839.1345521462
0.1,1.0,multiplicative,10.0,757799.0237770004
0.1,10.0,additive,0.01,641109.2715451024
0.1,10.0,additive,0.1,665710.1774766217
0.1,10.0,additive,1.0,666545.0969388484
0.1,10.0,additive,10.0,666575.2617369639
0.1,10.0,multiplicative,0.01,709455.2455953279
0.1,10.0,multiplicative,0.1,778425.0565989648
0.1,10.0,multiplicative,1.0,755943.2990753802
0.1,10.0,multiplicative,10.0,756673.8238612429
0.5,0.01,additive,0.01,630625.0017591538
0.5,0.01,additive,0.1,656738.6903963108
0.5,0.01,additive,1.0,654469.8843290244
0.5,0.01,additive,10.0,655511.9790609758
0.5,0.01,multiplicative,0.01,708993.3141936187
0.5,0.01,multiplicative,0.1,749647.5679622935
0.5,0.01,multiplicative,1.0,750855.8884429376
0.5,0.01,multiplicative,10.0,761401.4462825687
0.5,0.1,additive,0.01,630194.3106739069
0.5,0.1,additive,0.1,661879.7138259476
0.5,0.1,additive,1.0,662115.1957751338
0.5,0.1,additive,10.0,662544.4858764684
0.5,0.1,multiplicative,0.01,714872.4634184575
0.5,0.1,multiplicative,0.1,747835.3462623492
0.5,0.1,multiplicative,1.0,759775.5278957882
0.5,0.1,multiplicative,10.0,766719.5477299595
0.5,1.0,additive,0.01,630453.8982031615
0.5,1.0,additive,0.1,660122.0891716761
0.5,1.0,additive,1.0,662801.4776740564
0.5,1.0,additive,10.0,662130.0290925226
0.5,1.0,multiplicative,0.01,716139.1352369748
0.5,1.0,multiplicative,0.1,747975.4239465691
0.5,1.0,multiplicative,1.0,767959.8811196635
0.5,1.0,multiplicative,10.0,764878.4201366225
0.5,10.0,additive,0.01,630321.7354662312
0.5,10.0,additive,0.1,660512.2145620013
0.5,10.0,additive,1.0,657932.5729939644
0.5,10.0,additive,10.0,661381.4892163884
0.5,10.0,multiplicative,0.01,714682.7351277126
0.5,10.0,multiplicative,0.1,747131.6726343153
0.5,10.0,multiplicative,1.0,762612.2294775869
0.5,10.0,multiplicative,10.0,765588.0960144462
