changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,holidays_prior_scale,mse
0.001,0.01,additive,0.01,1014869.0561857497
0.001,0.01,additive,0.1,1036423.994156568
0.001,0.01,additive,1.0,1036251.3540409902
0.001,0.01,additive,10.0,1031596.704684499
0.001,0.01,multiplicative,0.01,1001399.2471222678
0.001,0.01,multiplicative,0.1,1081389.8263535807
0.001,0.01,multiplicative,1.0,1090678.057652694
0.001,0.01,multiplicative,10.0,1092418.913039057
0.001,0.1,additive,0.01,1014348.3573020644
0.001,0.1,additive,0.1,1029546.3826069566
0.001,0.1,additive,1.0,1034249.7265803153
0.001,0.1,additive,10.0,1034150.7837263943
0.001,0.1,multiplicative,0.01,938923.1359007816
0.001,0.1,multiplicative,0.1,1054033.4732132074
0.001,0.1,multiplicative,1.0,1074398.048994982
0.001,0.1,multiplicative,10.0,1062649.077803758
0.001,1.0,additive,0.01,1006610.4109379074
0.001,1.0,additive,0.1,1029830.5192248691
0.001,1.0,additive,1.0,1031917.7879327965
0.001,1.0,additive,10.0,1035839.4161310766
0.001,1.0,multiplicative,0.01,938747.4577834952
0.001,1.0,multiplicative,0.1,1050388.5381957046
0.001,1.0,multiplicative,1.0,1069957.1357438369
0.001,1.0,multiplicative,10.0,1059648.7087859625
0.001,10.0,additive,0.01,1013122.4146392493
0.001,10.0,additive,0.1,1028316.7549531555
0.001,10.0,additive,1.0,1036065.976212131
0.001,10.0,additive,10.0,1032125.1272869695
0.001,10.0,multiplicative,0.01,940874.0727705859
0.001,10.0,multiplicative,0.1,1047823.3980201645
0.001,10.0,multiplicative,1.0,1064703.154281517
0.001,10.0,multiplicative,10.0,1066418.1742152611
0.01,0.01,additive,0.01,1032189.7467827974
0.01,0.01,additive,0.1,1052729.7235196417
0.01,0.01,additive,1.0,1053621.1177312152
0.01,0.01,additive,10.0,1052958.2395397397
0.01,0.01,multiplicative,0.01,1046742.2071632587
0.01,0.01,multiplicative,0.1,1140537.1598486896
0.01,0.01,multiplicative,1.0,1150624.3607157043
0.01,0.01,multiplicative,10.0,1165684.3561376852
0.01,0.1,additive,0.01,1036694.7742193923
0.01,0.1,additive,0.1,1051248.9214781052
0.01,0.1,additive,1.0,1054091.0544715575
0.01,0.1,additive,10.0,1054321.601858021
0.01,0.1,multiplicative,0.01,1024779.1448377157
0.01,0.1,multiplicative,0.1,1108648.5984941034
0.01,0.1,multiplicative,1.0,1112787.7256840614
0.01,0.1,multiplicative,10.0,1112342.7230895818
0.01,1.0,additive,0.01,1036653.8799244873
0.01,1.0,additive,0.1,1052478.001729589
0.01,1.0,additive,1.0,1052473.298922801
0.01,1.0,additive,10.0,1052722.7858042684
0.01,1.0,multiplicative,0.01,1024449.1058120474
0.01,1.0,multiplicative,0.1,1112368.2856165718
0.01,1.0,multiplicative,1.0,1111104.447401901
0.01,1.0,multiplicative,10.0,1113744.7361308855
0.01,10.0,additive,0.01,1036195.3216302876
0.01,10.0,additive,0.1,1053585.58732394
0.01,10.0,additive,1.0,1054235.4267682156
0.01,10.0,additive,10.0,1054746.9617586841
0.01,10.0,multiplicative,0.01,1022675.2074696879
0.01,10.0,multiplicative,0.1,1101909.7973873578
0.01,10.0,multiplicative,1.0,1117629.244327214
0.01,10.0,multiplicative,10.0,1120977.6327757395
0.1,0.01,additive,0.01,1066749.0808595927
0.1,0.01,additive,0.1,1062309.294068766
0.1,0.01,additive,1.0,1063106.1964467156
0.1,0.01,additive,10.0,1063021.436509617
0.1,0.01,multiplicative,0.01,1173904.9248648088
0.1,0.01,multiplicative,0.1,1234264.9864549537
0.1,0.01,multiplicative,1.0,1243662.5040815454
0.1,0.01,multiplicative,10.0,1251870.6475051716
0.1,0.1,additive,0.01,1167216.6270009747
0.1,0.1,additive,0.1,1087659.7040636311
0.1,0.1,additive,1.0,1069935.124414949
0.1,0.1,additive,10.0,1091453.831713599
0.1,0.1,multiplicative,0.01,1321928.5709062158
0.1,0.1,multiplicative,0.1,1298998.1014528465
0.1,0.1,multiplicative,1.0,1269643.1778779374
0.1,0.1,multiplicative,10.0,1259079.3451729252
0.1,1.0,additive,0.01,1155721.557634243
0.1,1.0,additive,0.1,1086775.0911060814
0.1,1.0,additive,1.0,1073617.8438170555
0.1,1.0,additive,10.0,1085436.2516924946
0.1,1.0,multiplicative,0.01,1259513.5688830083
0.1,1.0,multiplicative,0.1,1266136.0262896991
0.1,1.0,multiplicative,1.0,1264342.5882445727
0.1,1.0,multiplicative,10.0,1278577.7518853222
0.1,10.0,additive,0.01,1138242.8446820155
0.1,10.0,additive,0.1,1071365.9396177249
0.1,10.0,additive,1.0,1070735.405483025
0.1,10.0,additive,10.0,1090786.8087832646
0.1,10.0,multiplicative,0.01,1344644.8892670532
0.1,10.0,multiplicative,0.1,1291528.668647526
0.1,10.0,multiplicative,1.0,1269456.3094629748
0.1,10.0,multiplicative,10.0,1264586.6898549108
0.5,0.01,additive,0.01,1158280.1955765309
0.5,0.01,additive,0.1,1074000.724539436
0.5,0.01,additive,1.0,1072427.5771377042
0.5,0.01,additive,10.0,1065235.6075881328
0.5,0.01,multiplicative,0.01,1219562.1965442197
0.5,0.01,multiplicative,0.1,1222726.9376041195
0.5,0.01,multiplicative,1.0,1232249.2340186606
0.5,0.01,multiplicative,10.0,1226261.1504750226
