changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,holidays_prior_scale,mse
0.001,0.01,additive,0.01,177464.2060427053
0.001,0.01,additive,0.1,178023.54202163074
0.001,0.01,additive,1.0,177701.26095105606
0.001,0.01,additive,10.0,177832.32152240482
0.001,0.01,multiplicative,0.01,173344.50212389167
0.001,0.01,multiplicative,0.1,176287.25773290172
0.001,0.01,multiplicative,1.0,175829.28002001272
0.001,0.01,multiplicative,10.0,175939.17008248073
0.001,0.1,additive,0.01,177062.7795281217
0.001,0.1,additive,0.1,177553.97683492393
0.001,0.1,additive,1.0,177216.5212520801
0.001,0.1,additive,10.0,177624.6549244773
0.001,0.1,multiplicative,0.01,168983.60012933786
0.001,0.1,multiplicative,0.1,172123.22112282473
0.001,0.1,multiplicative,1.0,171261.20917005482
0.001,0.1,multiplicative,10.0,170886.9075790944
0.001,1.0,additive,0.01,177286.45879898727
0.001,1.0,additive,0.1,177408.63104118948
0.001,1.0,additive,1.0,177488.9346372554
0.001,1.0,additive,10.0,177193.67800103052
0.001,1.0,multiplicative,0.01,168777.83362792115
0.001,1.0,multiplicative,0.1,172189.69073041598
0.001,1.0,multiplicative,1.0,171721.88200307725
0.001,1.0,multiplicative,10.0,171826.27875234795
0.001,10.0,additive,0.01,177953.95252494933
0.001,10.0,additive,0.1,176604.16742982206
0.001,10.0,additive,1.0,177356.44665215205
0.001,10.0,additive,10.0,177213.8439719554
0.001,10.0,multiplicative,0.01,168675.4409783213
0.001,10.0,multiplicative,0.1,172101.14630024205
0.001,10.0,multiplicative,1.0,171887.71244029704
0.001,10.0,multiplicative,10.0,171235.42681722826
0.01,0.01,additive,0.01,187209.83985287673
0.01,0.01,additive,0.1,184764.30428512662
0.01,0.01,additive,1.0,185282.62695576926
0.01,0.01,additive,10.0,184485.57962715378
0.01,0.01,multiplicative,0.01,198980.0498763275
0.01,0.01,multiplicative,0.1,198603.5676716952
0.01,0.01,multiplicative,1.0,199515.43883466366
0.01,0.01,multiplicative,10.0,199143.96150194044
