changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,holidays_prior_scale,mse
0.01,0.1,additive,0.01,185757.0473438171
0.01,0.1,additive,0.1,184168.03782864072
0.01,0.1,additive,1.0,184448.84748421257
0.01,0.1,additive,10.0,184069.45056935266
0.01,0.1,multiplicative,0.01,194354.10651866495
0.01,0.1,multiplicative,0.1,193826.9968575566
0.01,0.1,multiplicative,1.0,192504.00302026336
0.01,0.1,multiplicative,10.0,193798.00014633292
0.01,1.0,additive,0.01,186046.23717577278
0.01,1.0,additive,0.1,184485.4282000188
0.01,1.0,additive,1.0,183802.81260123258
0.01,1.0,additive,10.0,183935.73215907256
0.01,1.0,multiplicative,0.01,194831.1659029573
0.01,1.0,multiplicative,0.1,192466.6330083347
0.01,1.0,multiplicative,1.0,192971.53558387316
0.01,1.0,multiplicative,10.0,193478.95683830394
0.01,10.0,additive,0.01,185562.76546832485
0.01,10.0,additive,0.1,183767.00818269086
0.01,10.0,additive,1.0,184034.53245967944
0.01,10.0,additive,10.0,184055.48389610945
0.01,10.0,multiplicative,0.01,194730.33886828594
0.01,10.0,multiplicative,0.1,192169.74436932005
0.01,10.0,multiplicative,1.0,193036.9755161842
0.01,10.0,multiplicative,10.0,193793.63350687842
0.1,0.01,additive,0.01,189344.18019286025
0.1,0.01,additive,0.1,186946.77533168704
0.1,0.01,additive,1.0,189542.83641756696
0.1,0.01,additive,10.0,187718.16018764788
0.1,0.01,multiplicative,0.01,233699.17480351267
0.1,0.01,multiplicative,0.1,244053.93473572994
0.1,0.01,multiplicative,1.0,247562.59146193057
0.1,0.01,multiplicative,10.0,247279.18725193743
0.1,0.1,additive,0.01,187280.20497782482
0.1,0.1,additive,0.1,185015.6840940466
0.1,0.1,additive,1.0,184039.38523369515
0.1,0.1,additive,10.0,184146.25961369282
0.1,0.1,multiplicative,0.01,273086.013030413
0.1,0.1,multiplicative,0.1,286701.12711013126
0.1,0.1,multiplicative,1.0,288444.0759970577
0.1,0.1,multiplicative,10.0,289463.0673115284
0.1,1.0,additive,0.01,188111.42403899686
0.1,1.0,additive,0.1,187971.20318047958
0.1,1.0,additive,1.0,185290.28879993697
0.1,1.0,additive,10.0,185558.39995546814
0.1,1.0,multiplicative,0.01,274790.9161457649
0.1,1.0,multiplicative,0.1,290930.1798660344
0.1,1.0,multiplicative,1.0,293674.4003092471
0.1,1.0,multiplicative,10.0,291825.6604883426
0.1,10.0,additive,0.01,186802.46061624013
0.1,10.0,additive,0.1,187505.07139210223
0.1,10.0,additive,1.0,185617.9744557689
0.1,10.0,additive,10.0,184779.59166863674
0.1,10.0,multiplicative,0.01,271579.56187023484
0.1,10.0,multiplicative,0.1,294290.19337665086
0.1,10.0,multiplicative,1.0,288720.57321305934
0.1,10.0,multiplicative,10.0,289189.7278731185
0.5,0.01,additive,0.01,219839.00904834556
0.5,0.01,additive,0.1,235815.36601967286
0.5,0.01,additive,1.0,234068.15847155594
0.5,0.01,additive,10.0,236966.0104089167
0.5,0.01,multiplicative,0.01,228114.39984625037
0.5,0.01,multiplicative,0.1,261262.92514785333
0.5,0.01,multiplicative,1.0,262811.11898238485
0.5,0.01,multiplicative,10.0,262263.962971218
0.5,0.1,additive,0.01,267563.31294366764
0.5,0.1,additive,0.1,423721.39984050463
0.5,0.1,additive,1.0,434111.1376389383
0.5,0.1,additive,10.0,410718.52716114
0.5,0.1,multiplicative,0.01,336015.4887329131
0.5,0.1,multiplicative,0.1,410762.37693338125
0.5,0.1,multiplicative,1.0,416984.49853008986
0.5,0.1,multiplicative,10.0,406978.4547917666
0.5,1.0,additive,0.01,283995.66287056886
0.5,1.0,additive,0.1,419274.1719325229
0.5,1.0,additive,1.0,460885.08585558704
0.5,1.0,additive,10.0,429011.07547165203
0.5,1.0,multiplicative,0.01,343923.30577280547
0.5,1.0,multiplicative,0.1,416974.63062805816
0.5,1.0,multiplicative,1.0,419787.4966374681
0.5,1.0,multiplicative,10.0,424500.0432731532
0.5,10.0,additive,0.01,285688.94114971877
0.5,10.0,additive,0.1,430893.25078259694
0.5,10.0,additive,1.0,443467.5044652986
0.5,10.0,additive,10.0,447728.00023717905
0.5,10.0,multiplicative,0.01,341063.00088913
0.5,10.0,multiplicative,0.1,414909.2638351622
0.5,10.0,multiplicative,1.0,419175.15459210286
0.5,10.0,multiplicative,10.0,421633.1251179769
