changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,holidays_prior_scale,mse
0.001,0.01,additive,0.01,5973623.549033438
0.001,0.01,additive,0.1,5970086.207483753
0.001,0.01,additive,1.0,5969398.560425909
0.001,0.01,additive,10.0,5971448.338151265
0.001,0.01,multiplicative,0.01,5982321.154998805
0.001,0.01,multiplicative,0.1,5988870.806848319
0.001,0.01,multiplicative,1.0,5989062.666447915
0.001,0.01,multiplicative,10.0,5989336.160014977
0.001,0.1,additive,0.01,5978835.968583011
0.001,0.1,additive,0.1,5970957.592553607
0.001,0.1,additive,1.0,5969829.870881621
0.001,0.1,additive,10.0,5970312.21920743
0.001,0.1,multiplicative,0.01,5972868.74218875
0.001,0.1,multiplicative,0.1,5978961.426911894
0.001,0.1,multiplicative,1.0,5976612.746240861
0.001,0.1,multiplicative,10.0,5978401.720020973
0.001,1.0,additive,0.01,5972752.904373847
0.001,1.0,additive,0.1,5968174.786831532
0.001,1.0,additive,1.0,5967503.998142167
0.001,1.0,additive,10.0,5969933.919618835
0.001,1.0,multiplicative,0.01,5972871.86729987
0.001,1.0,multiplicative,0.1,5975713.370477592
0.001,1.0,multiplicative,1.0,5979122.348569588
0.001,1.0,multiplicative,10.0,5977951.3689685585
0.001,10.0,additive,0.01,5978131.599463896
0.001,10.0,additive,0.1,5973739.341138239
0.001,10.0,additive,1.0,5968793.766860924
0.001,10.0,additive,10.0,5969301.247553973
0.001,10.0,multiplicative,0.01,5969508.755019969
0.001,10.0,multiplicative,0.1,5977252.867940216
0.001,10.0,multiplicative,1.0,5976466.962821146
0.001,10.0,multiplicative,10.0,5978300.649583951
0.01,0.01,additive,0.01,5971828.918224926
0.01,0.01,additive,0.1,5968674.955642653
0.01,0.01,additive,1.0,5968605.486148978
0.01,0.01,additive,10.0,5969105.9413576955
0.01,0.01,multiplicative,0.01,5990205.765689899
0.01,0.01,multiplicative,0.1,5982717.871778399
0.01,0.01,multiplicative,1.0,5982001.637172531
0.01,0.01,multiplicative,10.0,5982093.403784967
0.01,0.1,additive,0.01,5971757.881785797
0.01,0.1,additive,0.1,5968554.021341489
0.01,0.1,additive,1.0,5968556.503960271
0.01,0.1,additive,10.0,5968621.04625333
0.01,0.1,multiplicative,0.01,5977519.832896494
0.01,0.1,multiplicative,0.1,5965339.896162325
0.01,0.1,multiplicative,1.0,5964926.058910669
0.01,0.1,multiplicative,10.0,5964674.601122987
0.01,1.0,additive,0.01,5971827.12126052
0.01,1.0,additive,0.1,5968316.302461903
0.01,1.0,additive,1.0,5968280.32694495
0.01,1.0,additive,10.0,5968571.624354034
0.01,1.0,multiplicative,0.01,5975866.569330937
0.01,1.0,multiplicative,0.1,5964986.61721624
0.01,1.0,multiplicative,1.0,5964730.5295356745
0.01,1.0,multiplicative,10.0,5964846.8548560385
0.01,10.0,additive,0.01,5972314.488435412
0.01,10.0,additive,0.1,5968525.219228229
0.01,10.0,additive,1.0,5968489.203763744
0.01,10.0,additive,10.0,5969131.994826893
0.01,10.0,multiplicative,0.01,5980721.465255808
0.01,10.0,multiplicative,0.1,5966743.176237633
0.01,10.0,multiplicative,1.0,5963959.777513965
0.01,10.0,multiplicative,10.0,5964699.829272468
0.1,0.01,additive,0.01,5984038.478365186
0.1,0.01,additive,0.1,5969420.4058068525
0.1,0.01,additive,1.0,5968270.304828543
0.1,0.01,additive,10.0,5971755.190928935
0.1,0.01,multiplicative,0.01,6034664.5755491555
0.1,0.01,multiplicative,0.1,5981954.793008308
0.1,0.01,multiplicative,1.0,5979511.350779357
0.1,0.01,multiplicative,10.0,5979166.562895327
0.1,0.1,additive,0.01,5985508.11381121
0.1,0.1,additive,0.1,5968987.4278190425
0.1,0.1,additive,1.0,5968747.2562179845
0.1,0.1,additive,10.0,5968765.601856621
0.1,0.1,multiplicative,0.01,6059983.2237649625
0.1,0.1,multiplicative,0.1,5978717.962909244
0.1,0.1,multiplicative,1.0,5973522.040496996
0.1,0.1,multiplicative,10.0,5973605.138278942
0.1,1.0,additive,0.01,5985369.763629875
0.1,1.0,additive,0.1,5968848.78222404
0.1,1.0,additive,1.0,5969836.903721017
0.1,1.0,additive,10.0,5969989.146662947
0.1,1.0,multiplicative,0.01,6063082.004369866
0.1,1.0,multiplicative,0.1,5979526.617984713
0.1,1.0,multiplicative,1.0,5973721.044347107
0.1,1.0,multiplicative,10.0,5975251.760783011
0.1,10.0,additive,0.01,5985163.58220932
0.1,10.0,additive,0.1,5969272.37749821
0.1,10.0,additive,1.0,5970092.482641191
0.1,10.0,additive,10.0,5968908.252873323
0.1,10.0,multiplicative,0.01,6044585.518262009
0.1,10.0,multiplicative,0.1,5978961.178121428
0.1,10.0,multiplicative,1.0,5969378.92140607
0.1,10.0,multiplicative,10.0,5976133.731463028
0.5,0.01,additive,0.01,6045221.383116115
0.5,0.01,additive,0.1,5981597.5955474395
0.5,0.01,additive,1.0,6003173.020292161
0.5,0.01,additive,10.0,5998427.730540931
0.5,0.01,multiplicative,0.01,6056982.2406739015
0.5,0.01,multiplicative,0.1,5999130.928938306
0.5,0.01,multiplicative,1.0,5989200.7871028595
0.5,0.01,multiplicative,10.0,5995570.47519423
0.5,0.1,additive,0.01,6021732.8746038405
0.5,0.1,additive,0.1,5996536.474237198
0.5,0.1,additive,1.0,5974061.089894275
0.5,0.1,additive,10.0,5986045.852728349
0.5,0.1,multiplicative,0.01,6133620.763121134
0.5,0.1,multiplicative,0.1,5999684.801101884
0.5,0.1,multiplicative,1.0,6008189.2382143065
0.5,0.1,multiplicative,10.0,5995043.453982314
0.5,1.0,additive,0.01,6022616.7941479
0.5,1.0,additive,0.1,5975223.648713918
0.5,1.0,additive,1.0,5983993.090883415
0.5,1.0,additive,10.0,5974696.731982699
0.5,1.0,multiplicative,0.01,6159834.322097011
0.5,1.0,multiplicative,0.1,5996575.644623454
0.5,1.0,multiplicative,1.0,6000934.560496309
0.5,1.0,multiplicative,10.0,6016936.396730964
0.5,10.0,additive,0.01,6061816.75244828
0.5,10.0,additive,0.1,6011223.036441342
0.5,10.0,additive,1.0,5976853.284626188
0.5,10.0,additive,10.0,5987878.490322949
0.5,10.0,multiplicative,0.01,6134524.583514031
0.5,10.0,multiplicative,0.1,6029428.49848927
0.5,10.0,multiplicative,1.0,5996541.793470994
0.5,10.0,multiplicative,10.0,5998545.525468584
