changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,holidays_prior_scale,mse
0.001,0.01,additive,0.01,5695811.326442046
0.001,0.01,additive,0.1,5797235.595793378
0.001,0.01,additive,1.0,5792605.6129660625
0.001,0.01,additive,10.0,5800148.673608115
0.001,0.01,multiplicative,0.01,5590723.515937163
0.001,0.01,multiplicative,0.1,5765399.811661
0.001,0.01,multiplicative,1.0,5828874.124349769
0.001,0.01,multiplicative,10.0,5761607.944501442
0.001,0.1,additive,0.01,5700784.909578539
0.001,0.1,additive,0.1,5786637.204429081
0.001,0.1,additive,1.0,5790216.342465083
0.001,0.1,additive,10.0,5775924.726416981
0.001,0.1,multiplicative,0.01,5572554.9445753135
0.001,0.1,multiplicative,0.1,5745158.953634943
0.001,0.1,multiplicative,1.0,5713539.883662474
0.001,0.1,multiplicative,10.0,5806341.700677218
0.001,1.0,additive,0.01,5696708.507609016
0.001,1.0,additive,0.1,5780869.202967099
0.001,1.0,additive,1.0,5789161.933306538
0.001,1.0,additive,10.0,5804073.864428938
0.001,1.0,multiplicative,0.01,5617040.203861618
0.001,1.0,multiplicative,0.1,5800123.059998468
0.001,1.0,multiplicative,1.0,5794896.624501761
0.001,1.0,multiplicative,10.0,5789660.474180751
0.001,10.0,additive,0.01,5694960.657415938
0.001,10.0,additive,0.1,5795989.277026528
0.001,10.0,additive,1.0,5782820.811556086
0.001,10.0,additive,10.0,5792899.948775369
0.001,10.0,multiplicative,0.01,5595809.640757473
0.001,10.0,multiplicative,0.1,5751286.867723569
0.001,10.0,multiplicative,1.0,5744234.999037726
0.001,10.0,multiplicative,10.0,5787357.340284247
0.01,0.01,additive,0.01,5656871.087431
0.01,0.01,additive,0.1,5689876.121313254
0.01,0.01,additive,1.0,5686536.245302632
0.01,0.01,additive,10.0,5694512.40933299
0.01,0.01,multiplicative,0.01,5562285.588597845
0.01,0.01,multiplicative,0.1,5708597.776723167
0.01,0.01,multiplicative,1.0,5712958.214496961
0.01,0.01,multiplicative,10.0,5712223.750840758
0.01,0.1,additive,0.01,5648573.068006204
0.01,0.1,additive,0.1,5696883.75126437
0.01,0.1,additive,1.0,5689403.075943755
0.01,0.1,additive,10.0,5693451.6087232465
0.01,0.1,multiplicative,0.01,5538036.648261978
0.01,0.1,multiplicative,0.1,5674835.89561393
0.01,0.1,multiplicative,1.0,5676851.838694956
0.01,0.1,multiplicative,10.0,5677078.97150483
0.01,1.0,additive,0.01,5650828.864722751
0.01,1.0,additive,0.1,5684851.925329601
0.01,1.0,additive,1.0,5690426.05743809
0.01,1.0,additive,10.0,5688131.712682376
0.01,1.0,multiplicative,0.01,5542574.069161773
0.01,1.0,multiplicative,0.1,5675612.3934624605
0.01,1.0,multiplicative,1.0,5677333.273505677
0.01,1.0,multiplicative,10.0,5676181.677352175
0.01,10.0,additive,0.01,5650866.927005978
0.01,10.0,additive,0.1,5692724.698643137
0.01,10.0,additive,1.0,5691744.712876738
0.01,10.0,additive,10.0,5684754.944710929
0.01,10.0,multiplicative,0.01,5540050.43187715
0.01,10.0,multiplicative,0.1,5671529.7484983485
0.01,10.0,multiplicative,1.0,5675470.286574123
0.01,10.0,multiplicative,10.0,5677986.742691472
0.1,0.01,additive,0.01,5661002.890377842
0.1,0.01,additive,0.1,5678084.768017157
0.1,0.01,additive,1.0,5677760.520453504
0.1,0.01,additive,10.0,5677005.028127423
0.1,0.01,multiplicative,0.01,5664782.8044529725
0.1,0.01,multiplicative,0.1,5703948.09570398
0.1,0.01,multiplicative,1.0,5708345.855396386
0.1,0.01,multiplicative,10.0,5708181.37676946
0.1,0.1,additive,0.01,5672407.51210877
0.1,0.1,additive,0.1,5672469.987822985
0.1,0.1,additive,1.0,5673632.689637926
0.1,0.1,additive,10.0,5673550.782186224
0.1,0.1,multiplicative,0.01,5695372.513074624
0.1,0.1,multiplicative,0.1,5666182.100183986
0.1,0.1,multiplicative,1.0,5667781.379385559
0.1,0.1,multiplicative,10.0,5667841.429755667
0.1,1.0,additive,0.01,5655317.742627837
0.1,1.0,additive,0.1,5673016.111526631
0.1,1.0,additive,1.0,5673392.827233415
0.1,1.0,additive,10.0,5673091.175741608
0.1,1.0,multiplicative,0.01,5706995.19001093
0.1,1.0,multiplicative,0.1,5666247.6094692
0.1,1.0,multiplicative,1.0,5668407.493852876
0.1,1.0,multiplicative,10.0,5667328.351208424
0.1,10.0,additive,0.01,5660750.382306341
0.1,10.0,additive,0.1,5673775.268148879
0.1,10.0,additive,1.0,5671281.0230118865
0.1,10.0,additive,10.0,5674057.194035349
0.1,10.0,multiplicative,0.01,5692536.42119161
0.1,10.0,multiplicative,0.1,5667213.769128975
0.1,10.0,multiplicative,1.0,5667100.20690665
0.1,10.0,multiplicative,10.0,5667390.800299038
0.5,0.01,additive,0.01,5840853.887416539
0.5,0.01,additive,0.1,5680763.680830475
0.5,0.01,additive,1.0,5679757.106987058
0.5,0.01,additive,10.0,5681504.539827641
0.5,0.01,multiplicative,0.01,5930383.89611
0.5,0.01,multiplicative,0.1,5706624.8197727045
0.5,0.01,multiplicative,1.0,5718467.273330107
0.5,0.01,multiplicative,10.0,5713082.408526021
0.5,0.1,additive,0.01,6079402.964393929
0.5,0.1,additive,0.1,5686788.511100775
0.5,0.1,additive,1.0,5691527.900547841
0.5,0.1,additive,10.0,5686696.757523162
0.5,0.1,multiplicative,0.01,6683788.124973062
0.5,0.1,multiplicative,0.1,5681081.556412745
0.5,0.1,multiplicative,1.0,5660096.451560911
0.5,0.1,multiplicative,10.0,5662978.120296816
0.5,1.0,additive,0.01,5908163.391968634
0.5,1.0,additive,0.1,5691331.13920032
0.5,1.0,additive,1.0,5695225.203737764
0.5,1.0,additive,10.0,5685096.949453557
0.5,1.0,multiplicative,0.01,6724012.525652648
0.5,1.0,multiplicative,0.1,5681180.737073007
0.5,1.0,multiplicative,1.0,5670682.355502215
0.5,1.0,multiplicative,10.0,5662775.877337472
0.5,10.0,additive,0.01,6017633.457612618
0.5,10.0,additive,0.1,5677605.25401116
0.5,10.0,additive,1.0,5692630.525275838
0.5,10.0,additive,10.0,5689245.264518047
0.5,10.0,multiplicative,0.01,6577895.997396942
0.5,10.0,multiplicative,0.1,5673748.534685758
0.5,10.0,multiplicative,1.0,5671554.13466306
0.5,10.0,multiplicative,10.0,5663849.786667385
