changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,holidays_prior_scale,mse
0.001,0.01,additive,0.01,1673.7682327711934
0.001,0.01,additive,0.1,1811.8193821365328
0.001,0.01,additive,1.0,1821.0386920882822
0.001,0.01,additive,10.0,1842.5524828211835
0.001,0.01,multiplicative,0.01,1705.1866993993983
0.001,0.01,multiplicative,0.1,1866.8324217608283
0.001,0.01,multiplicative,1.0,1873.9064056438965
0.001,0.01,multiplicative,10.0,1796.6672457277718
0.001,0.1,additive,0.01,1692.0639852684337
0.001,0.1,additive,0.1,1842.6199160646554
0.001,0.1,additive,1.0,1846.1845598029092
0.001,0.1,additive,10.0,1848.2980749791154
0.001,0.1,multiplicative,0.01,1689.366325692298
0.001,0.1,multiplicative,0.1,1845.4792457787812
0.001,0.1,multiplicative,1.0,1841.3597522061737
0.001,0.1,multiplicative,10.0,1890.4895818228601
0.001,1.0,additive,0.01,1706.2019794756332
0.001,1.0,additive,0.1,1869.2990189773172
0.001,1.0,additive,1.0,1862.1859945126278
0.001,1.0,additive,10.0,1933.6298730336903
0.001,1.0,multiplicative,0.01,1712.1869028361307
0.001,1.0,multiplicative,0.1,1798.6123298298837
0.001,1.0,multiplicative,1.0,1881.161463580457
0.001,1.0,multiplicative,10.0,1877.732191974678
0.001,10.0,additive,0.01,1720.8467505814579
0.001,10.0,additive,0.1,1835.567044439154
0.001,10.0,additive,1.0,1908.8104579197634
0.001,10.0,additive,10.0,1832.3339060819649
0.001,10.0,multiplicative,0.01,1708.2161225852851
0.001,10.0,multiplicative,0.1,1874.7604298600872
0.001,10.0,multiplicative,1.0,1848.9200643400723
0.001,10.0,multiplicative,10.0,1790.5956741425139
0.01,0.01,additive,0.01,2186.4273795157055
0.01,0.01,additive,0.1,2089.3129976401938
0.01,0.01,additive,1.0,2099.5643569771237
0.01,0.01,additive,10.0,2046.3333728138703
0.01,0.01,multiplicative,0.01,2210.6857214290203
0.01,0.01,multiplicative,0.1,2170.0240464350222
0.01,0.01,multiplicative,1.0,2088.2857737103354
0.01,0.01,multiplicative,10.0,2128.4907509786053
0.01,0.1,additive,0.01,2235.54570055545
0.01,0.1,additive,0.1,2112.4352163296476
0.01,0.1,additive,1.0,2132.854412695362
0.01,0.1,additive,10.0,2097.198512706879
0.01,0.1,multiplicative,0.01,2328.3029622429094
0.01,0.1,multiplicative,0.1,2189.0778272190814
0.01,0.1,multiplicative,1.0,2211.6004052524795
0.01,0.1,multiplicative,10.0,2119.945668899724
0.01,1.0,additive,0.01,2227.0774365357115
0.01,1.0,additive,0.1,2163.1866633142818
0.01,1.0,additive,1.0,2119.008694306455
0.01,1.0,additive,10.0,2099.4717741940217
0.01,1.0,multiplicative,0.01,2259.2011846452065
0.01,1.0,multiplicative,0.1,2283.5297650653947
0.01,1.0,multiplicative,1.0,2202.323591959509
0.01,1.0,multiplicative,10.0,2180.2142457486934
0.01,10.0,additive,0.01,2245.793909520898
0.01,10.0,additive,0.1,2133.4939831146185
0.01,10.0,additive,1.0,2101.1091937564993
0.01,10.0,additive,10.0,2132.9559324617426
0.01,10.0,multiplicative,0.01,2329.701333411118
0.01,10.0,multiplicative,0.1,2137.974884705139
0.01,10.0,multiplicative,1.0,2091.6288553624577
0.01,10.0,multiplicative,10.0,2181.665738801211
0.1,0.01,additive,0.01,6901.4431850336205
0.1,0.01,additive,0.1,4794.994497788913
0.1,0.01,additive,1.0,4553.730435280945
0.1,0.01,additive,10.0,4486.95037098871
0.1,0.01,multiplicative,0.01,5685.752406502825
0.1,0.01,multiplicative,0.1,3485.670730893167
0.1,0.01,multiplicative,1.0,2734.897185079709
